Course Name,Course Code,Modality,Standard Course Hours,Developer,Target Start Date,Actual Start Date,Target Finish Date,Actual Finish Date,Phase,Risk Status,Course Status Notes,Product,Value Stream
Accounts Payable: Verify Vendor,868c1wx09,WBT,0.5,ISG,6/30/25,,7/25/25,,Not Started,On Track,,SAP S/4 HANA;OpenText Vendor Invoice Management,PTP
MCE: BOM Transactions,868a2vbw2,WBT,0.5,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTP
MCE: Contracts & Outline Agreements,868a2v78c,WBT,0.5,ISG,6/2/25,6/3/25,6/27/25,,Alpha Development,On Track,,SAP S/4 HANA,PTP
MCE: Manage Purchase Info Records,868a2vc2g,WBT,0.5,ISG,6/2/25,,6/27/25,,Not Started,Behind Schedule,Development not started,SAP S/4 HANA,PTP
MCE: MCE Inventory & Parts Reporting,868a2v7x8,WBT,0.5,ISG,6/2/25,,6/27/25,,Not Started,Behind Schedule,Development not started,SAP S/4 HANA,PTP
MCE: MCE Pricing & Costing Reporting,868a2v62b,WBT,0.5,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTP
MCE: Purchasing Documents,868a2va99,WBT,0.5,ISG,6/9/25,,7/4/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Supplier Quality: Approval Code Creation/Maintenance & Text Key Mapping,868a2v6re,WBT,0.5,ISG,6/2/25,,6/27/25,,Not Started,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Supplier Quality: ASN Controls & Quality Notification (QNote),868ccajuu,WBT,0.5,ISG,5/5/25,5/9/25,5/30/25,,Alpha Review,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Supplier Quality: Create & Maintain ZQUAL,868a2v6qh,WBT,0.5,ISG,5/5/25,3/27/25,5/30/25,,Beta Development,Behind Schedule,SME Time Needed,SAP S/4 HANA,PTP
Supplier Quality: Current Approvals Report,868cca7d1,WBT,0.5,ISG,5/19/25,,6/13/25,,Alpha Review,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Supplier Quality: Inspection Relevance Determination Program,868ccafpp,QRG,0.1,ISG,6/2/25,,6/27/25,,Not Started,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Supplier Quality: Maintain WF User Assignment,868cca3rv,WBT,0.5,ISG,5/5/25,5/6/25,5/30/25,,Beta Review,Behind Schedule,SME Time Needed,SAP S/4 HANA,PTP
