Course Name,Course Code,Modality,Standard Course Hours,Developer,Target Start Date,Actual Start Date,Target Finish Date,Actual Finish Date,Phase,Risk Status,Course Status Notes,Product,Value Stream
Lease Lifecycle Management: Create Catch Up Journal Entry - Manual,868c02ej2,WBT,0.5,ISG,5/12/25,1/14/25,3/28/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
Lease Lifecycle Management: Run Integration of Payment Inbound File to LMBldgs,868c02kbb,WBT,0.5,ISG,10/1/24,1/23/25,2/27/2025,3/12/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Lease Lifecycle Management: View Monthly Journal Entries,868c02mmv,WBT,0.5,ISG,10/1/24,1/23/25,2/27/2025,3/12/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Metrology: Asset Management,868c0u9te,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA,A2R
Metrology: Asset Receiving,868dkzeyb,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,A2R
Metrology: Calibration Request (Exit),868c0taj7,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,A2R
Metrology: Calibration Requests,868c0ub81,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,A2R
Metrology: IndySoft,868c0tkqd,WBT,0.5,ISG,7/14/25,10/27/24,8/8/25,,Not Started,On Track,,IndySoft,A2R
Metrology: IndySoft Overview,868c0tdmb,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,IndySoft,A2R
Metrology: IndySoft: Asset Creation Records,868c0tf4x,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,IndySoft,A2R
Metrology: IndySoft: Calibration Event,868c0tqp1,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,IndySoft,A2R
Metrology: IndySoft: External Vendors,868c0tpmz,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,IndySoft,A2R
Metrology: IndySoft: Quality Controls,868c0tgdv,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,IndySoft,A2R
Metrology: Limitation Requests,868c0qunf,WBT,0.5,ISG,7/14/25,,8/8/25,,Not Started,On Track,,SAP S/4 HANA,A2R
Metrology: Metrology and Calibration Troubleshooting,868a2vamk,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA,A2R
Metrology: SAP to S/4 System: Changes to the Property Management System,868c0eee9,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA,A2R
AR: Apply Cash,868c00xax,ILT,1,ISG,5/19/25,,6/13/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,O2C
AR: Dispute Management,868c011pt,ILT,1,ISG,5/19/25,,6/13/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,O2C
AR: Work with Unapplied Cash,868c00y1d,ILT,1,ISG,5/19/25,,6/13/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,O2C
Billing: Confirm Billing Eligibility,868c01j8v,WBT,0.5,ISG,5/12/25,6/2/25,6/6/25,,Alpha Development,Behind Schedule,SME Time Needed,SAP S/4 HANA,O2C
Billing: Costing Sheets and Burdening,868dy5a5y,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,SME Time Needed,SAP S/4 HANA,O2C
Billing: Generate and Attach Invoices,868c01f57,WBT,0.5,ISG,5/12/25,5/29/25,6/6/25,,Alpha Development,Behind Schedule,System Access Needed,SAP S/4 HANA,O2C
Billing: Legacy Rate Year Interface,868dy5qb5,WBT,0.5,ISG,5/19/25,,6/13/25,,Not Started,Behind Schedule,SME Time Needed,SAP S/4 HANA,O2C
Billing: Perform Billing with Financing,868c01kzg,WBT,0.5,ISG,5/19/25,6/2/25,6/13/25,,Alpha Development,Behind Schedule,Script Defect,SAP S/4 HANA,O2C
Billing: Perform BPMI Billing,868c01nga,WBT,0.5,ISG,5/12/25,5/30/25,6/6/25,,Alpha Development,Behind Schedule,Script Defect,SAP S/4 HANA,O2C
Billing: Perform Cost-Base Billing,868c01rhv,WBT,0.5,ISG,5/12/25,5/19/25,6/6/25,,Alpha Development,Behind Schedule,SME Time Needed,SAP S/4 HANA,O2C
Billing: Perform Fixed-Price Billing,868c01k8d,WBT,0.5,ISG,5/12/25,5/21/25,6/6/25,,Alpha Development,Behind Schedule,SME Time Needed,SAP S/4 HANA,O2C
Billing: Perform Time & Material Billing,868c01t4m,WBT,0.5,ISG,5/12/25,5/30/25,6/6/25,,Alpha Development,Behind Schedule,Script Defect,SAP S/4 HANA,O2C
Billing: Planned Version Upload,868dy5jw9,WBT,0.5,ISG,5/19/25,,6/13/25,,Not Started,Behind Schedule,SME Time Needed,SAP S/4 HANA,O2C
Billing: Post Invoice,868c01p1c,ILT,1,ISG,5/12/25,6/2/25,6/6/25,,Beta Development,Behind Schedule,SME Time Needed,SAP S/4 HANA,O2C
Billing: Previously Billed Process,868dy5ekr,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,SME Time Needed,SAP S/4 HANA,O2C
Billing: Transmit Invoices and Back-Up,868c01fzy,WBT,0.5,ISG,5/19/25,5/30/25,6/13/25,,Alpha Development,Behind Schedule,System Access Needed,SAP S/4 HANA,O2C
Billing: Work with Billing Documents,868c01gmq,WBT,0.5,ISG,5/19/25,5/22/25,6/13/25,,Alpha Development,Behind Schedule,SME Time Needed,SAP S/4 HANA,O2C
Billing: Work with Manual Invoices,868drcrh0,WBT,0.5,ISG,5/12/25,5/22/25,6/6/25,,Alpha Development,Behind Schedule,SME Time Needed,SAP S/4 HANA,O2C
Sales Orders: Create Sales Order,868dh617q,ILT,1,ISG,5/19/25,5/9/25,6/13/25,,Alpha Development,On Track,,SAP S/4 HANA,O2C
Sales Orders: Update Sales Order,868dh6g2m,ILT,1,ISG,5/19/25,5/29/25,6/13/25,,Alpha Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA,O2C
Sales Orders: Validate Sales Order,868dh6a78,ILT,1,ISG,5/19/25,5/16/25,6/13/25,,Alpha Development,On Track,,SAP S/4 HANA,O2C
AR: Monitor Payments & Status,868c013rg,ILT,1,ISG,6/23/25,,7/18/25,,Design,On Track,Paused due to Curriculum redesign,SAP S/4 HANA,O2C
AR: Contact Customer to Collect Cash,868c0137q,WBT,0.5,ISG,6/30/25,,7/25/25,,Design,On Track,Paused due to Curriculum redesign,SAP S/4 HANA,O2C
Contracts: Work with Requests,868bzz0gp,ILT,1,ISG,6/30/25,,7/25/25,,Design,On Track,Paused due to Curriculum redesign,SAP S/4 HANA,O2C
Incurred Cost Claim: Other Systems & Data Collection,868a2uwfv,ILT,1,ISG,6/30/25,,7/25/25,,Beta Review,On Track,,Cognitus; SAP S/4 HANA,PLP
Incurred Cost Claim: Preparing for Submission,868a2uwfh,ILT,1,ISG,6/30/25,3/24/25,7/25/25,,Beta Development,On Track,,Cognitus; SAP S/4 HANA,PLP
PS: Create Account Assignment Charge Numbers,868bzj218,WBT,0.5,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PLP
PS: Create Account Assignment Charge Numbers for Customer Projects,868bzngtq,WBT,0.5,ISG,5/19/25,,6/13/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PLP
PS: Create Customer Projects,868bzm6pz,WBT,0.5,ISG,5/19/25,,6/13/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PLP
PS: Create FEA,868bzhq2e,WBT,0.5,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PLP
PS: Create Internal Projects,868bzh1bb,WBT,0.5,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PLP
PS: Create the Program Common ID for Internal Projects,868bzx3na,WBT,0.5,ISG,5/12/25,,6/6/25,,Not Started,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PLP
PS: Create the Program Common ID for LRP/Proposals/Contracts,868bzq53m,ILT,1,ISG,5/12/25,3/21/25,6/6/25,,Alpha Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PLP
PS: Initiate NBF Project ,868a2v97d,Video,0.1,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PLP
Incurred Cost Claim: Completing Adjustments,868a2uwfq,ILT,1,ISG,6/30/25,11/25/24,7/25/25,,Final Development,On Track,,Cognitus; SAP S/4 HANA,PLP
Incurred Cost Claim: Incurred Cost Claim Reports & Reconciliation,868a2uwc9,ILT,1,ISG,6/30/25,9/17/24,7/25/25,,Final Development,On Track,,Cognitus; SAP S/4 HANA,PLP
